"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009534","CC","GO:0009534","chloroplast thylakoid","58/1554","420/26704",9.03832468498504e-10,5.52086695183089e-08,4.85544461929078e-08,"838498/841652/3771487/820058/823831/3770591/825489/818558/818532/834495/830352/825866/828183/839449/838622/815210/843095/818436/837178/824699/816692/820167/841033/844085/818822/821134/844245/831799/831910/834607/824858/835375/817947/820871/838168/816270/838749/843812/839918/826892/841653/827877/843099/840021/837996/842446/836751/828611/828853/830126/836789/827996/828388/822403/833608/836525/815058/816672",58
"GO:0034357","CC","GO:0034357","photosynthetic membrane","52/1554","357/26704",1.02260631739338e-09,5.52086695183089e-08,4.85544461929078e-08,"838498/841652/820058/823831/3770591/818558/818532/834495/830352/825866/828183/839449/838622/815210/837178/824699/816692/820167/841033/831424/844085/818822/821134/844245/831799/831910/824858/817947/820871/838168/837358/843812/839918/826892/841653/827877/843099/840021/837996/842446/836751/828611/817409/828853/830126/836789/827996/828388/822403/833608/836525/815058",52
"GO:0055035","CC","GO:0055035","plastid thylakoid membrane","49/1554","328/26704",1.30503908023567e-09,5.52086695183089e-08,4.85544461929078e-08,"838498/841652/820058/823831/3770591/818558/818532/834495/830352/825866/828183/839449/838622/815210/837178/824699/816692/820167/841033/844085/818822/821134/844245/831799/831910/824858/817947/820871/838168/843812/839918/826892/841653/827877/843099/840021/837996/842446/836751/828611/828853/830126/836789/827996/828388/822403/833608/836525/815058",49
"GO:0031976","CC","GO:0031976","plastid thylakoid","58/1554","426/26704",1.55363629651331e-09,5.52086695183089e-08,4.85544461929078e-08,"838498/841652/3771487/820058/823831/3770591/825489/818558/818532/834495/830352/825866/828183/839449/838622/815210/843095/818436/837178/824699/816692/820167/841033/844085/818822/821134/844245/831799/831910/834607/824858/835375/817947/820871/838168/816270/838749/843812/839918/826892/841653/827877/843099/840021/837996/842446/836751/828611/828853/830126/836789/827996/828388/822403/833608/836525/815058/816672",58
"GO:0009535","CC","GO:0009535","chloroplast thylakoid membrane","48/1554","320/26704",1.6729899854033e-09,5.52086695183089e-08,4.85544461929078e-08,"838498/841652/820058/823831/3770591/818558/818532/834495/830352/825866/828183/839449/815210/837178/824699/816692/820167/841033/844085/818822/821134/844245/831799/831910/824858/817947/820871/838168/843812/839918/826892/841653/827877/843099/840021/837996/842446/836751/828611/828853/830126/836789/827996/828388/822403/833608/836525/815058",48
"GO:0042651","CC","GO:0042651","thylakoid membrane","51/1554","355/26704",2.39255763753097e-09,6.90851017837068e-08,6.07583715846681e-08,"838498/841652/820058/823831/3770591/818558/818532/834495/830352/825866/828183/839449/838622/815210/837178/824699/816692/820167/841033/831424/844085/818822/821134/844245/831799/831910/824858/817947/820871/838168/843812/839918/826892/841653/827877/843099/840021/837996/842446/836751/828611/817409/828853/830126/836789/827996/828388/822403/833608/836525/815058",51
"GO:0009523","CC","GO:0009523","photosystem II","12/1554","30/26704",4.68642057353526e-08,1.20284794720738e-06,1.05787037507872e-06,"818532/825866/839449/837178/824699/844245/831799/827877/843099/817409/836789/815058",12
"GO:0019867","CC","GO:0019867","outer membrane","56/1554","448/26704",6.13979263797546e-08,1.28935645397485e-06,1.13395213313805e-06,"838498/826860/841652/820058/823831/3770591/818558/818532/834495/830352/825866/828183/839449/815210/837178/824699/816692/820167/841033/815657/844085/818822/821134/844245/831799/831910/824858/817947/820871/838168/843812/842509/839918/826892/841653/827877/843099/840021/837996/842446/836751/828611/841365/817439/828853/838170/835246/830126/836789/827996/828388/824154/822403/833608/836525/815058",56
"GO:0031968","CC","GO:0031968","organelle outer membrane","56/1554","448/26704",6.13979263797546e-08,1.28935645397485e-06,1.13395213313805e-06,"838498/826860/841652/820058/823831/3770591/818558/818532/834495/830352/825866/828183/839449/815210/837178/824699/816692/820167/841033/815657/844085/818822/821134/844245/831799/831910/824858/817947/820871/838168/843812/842509/839918/826892/841653/827877/843099/840021/837996/842446/836751/828611/841365/817439/828853/838170/835246/830126/836789/827996/828388/824154/822403/833608/836525/815058",56
"GO:0042170","CC","GO:0042170","plastid membrane","55/1554","467/26704",5.64896466119938e-07,1.08742569728088e-05,9.56359806676737e-06,"838498/826860/841652/820058/823831/3770591/818558/818532/834495/830352/825866/828183/839449/838622/815210/837178/824699/816692/820167/841033/815657/844085/818822/821134/844245/831799/831910/824858/817947/820871/838168/843812/820144/817901/839918/826892/841653/827877/843099/840021/837996/842446/836751/828611/817439/828853/838170/830126/836789/827996/828388/822403/833608/836525/815058",55
"GO:0005840","CC","GO:0005840","ribosome","46/1554","379/26704",2.05276097224425e-06,3.64759834298786e-05,3.20795844245458e-05,"827947/828695/829529/829607/824768/825195/820230/818874/825489/839395/822189/828951/837274/824556/834821/819095/818234/829329/820853/837486/829064/843836/817947/842796/824741/838092/829203/816943/829614/827159/838331/817059/828679/819652/816491/839781/833828/820000/819853/822403/819855/817766/824694/836535/833829/816672",46
"GO:0009543","CC","GO:0009543","chloroplast thylakoid lumen","13/1554","50/26704",3.90848710371728e-06,6.44900372113351e-05,5.67171436855214e-05,"818532/825866/839449/838622/837178/824699/820167/834607/835375/827877/830126/836789/836525",13
"GO:0031978","CC","GO:0031978","plastid thylakoid lumen","13/1554","51/26704",4.96744303229905e-06,7.64986226974053e-05,6.72783512444713e-05,"818532/825866/839449/838622/837178/824699/820167/834607/835375/827877/830126/836789/836525",13
"GO:0031977","CC","GO:0031977","thylakoid lumen","15/1554","67/26704",5.44679651441333e-06,7.76392473694391e-05,6.82814980282605e-05,"818532/825866/839449/838622/837178/824699/820167/834607/835375/827877/836751/830126/836789/836525/816672",15
"GO:0044391","CC","GO:0044391","ribosomal subunit","38/1554","300/26704",5.71371084536998e-06,7.76392473694391e-05,6.82814980282605e-05,"829529/829607/824768/825195/820230/818874/822189/828951/824556/834821/819095/818234/829329/820853/837486/829064/843836/817947/842796/824741/838092/829203/816943/829614/827159/838331/817059/828679/819652/816491/839781/820000/819853/822403/819855/817766/824694/836535",38
