,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0015914,BP,GO:0015914,phospholipid transport,9/1678,20/21061,0.45,5.648063170441,6.11883152033693,9.46652956899722e-06,0.000118590976586958,8.98876672124682e-05,AT3G25610/AT5G04930/AT3G12740/AT3G13900/AT1G68710/AT1G72700/AT1G13210/AT2G38530/AT5G44240,9
GO:0023051,BP,GO:0023051,regulation of signaling,52/1678,353/21061,0.147308781869688,1.8489095679127,4.73254080024586,1.20135877156728e-05,0.000148465215756524,0.000112531259043678,AT1G51800/AT4G11890/AT3G55970/AT4G35380/AT5G59220/AT1G15380/AT1G05100/AT2G46400/AT2G04450/AT3G26940/AT1G15670/AT4G23810/AT4G37900/AT5G43410/AT3G22160/AT5G26920/AT2G32460/AT3G52430/AT1G70810/AT1G14780/AT2G47000/AT2G01540/AT1G23140/AT1G01720/AT4G23450/AT3G56400/AT3G63010/AT1G67800/AT1G76650/AT5G45110/AT3G02140/AT1G17380/AT4G14400/AT2G33150/AT5G11260/AT3G17410/AT1G64280/AT1G19180/AT1G07430/AT5G66070/AT4G33360/AT3G43440/AT4G19660/AT3G03450/AT1G29690/AT1G59870/AT5G20910/AT5G52200/AT3G46110/AT1G75270/AT1G28380/AT5G60360,52
GO:0006787,BP,GO:0006787,porphyrin-containing compound catabolic process,10/1678,26/21061,0.384615384615385,4.82740441918034,5.74558737614428,1.62452757535455e-05,0.000192939021774252,0.000146240794035677,AT4G16690/AT4G11910/AT3G03470/AT1G69720/AT4G22920/AT3G04060/AT1G58300/AT4G01660/AT3G44880/AT1G20780,10
GO:0033015,BP,GO:0033015,tetrapyrrole catabolic process,10/1678,26/21061,0.384615384615385,4.82740441918034,5.74558737614428,1.62452757535455e-05,0.000192939021774252,0.000146240794035677,AT4G16690/AT4G11910/AT3G03470/AT1G69720/AT4G22920/AT3G04060/AT1G58300/AT4G01660/AT3G44880/AT1G20780,10
GO:0030258,BP,GO:0030258,lipid modification,21/1678,97/21061,0.216494845360825,2.71728125038399,4.98775236983891,2.0555048245704e-05,0.000242549569299308,0.000183843793138147,AT3G01420/AT1G47510/AT5G65090/AT4G18010/AT3G22400/AT1G55020/AT1G65520/AT5G17380/AT2G33150/AT2G01900/AT1G76150/AT1G12640/AT2G42790/AT4G16760/AT3G06810/AT3G06860/AT4G16210/AT5G65110/AT5G27520/AT2G01180/AT4G14430,21
GO:0006972,BP,GO:0006972,hyperosmotic response,17/1678,73/21061,0.232876712328767,2.92289418257221,4.84223599383222,4.63745491026802e-05,0.000520362271833142,0.00039441576472864,AT2G43000/AT5G46050/AT2G25090/AT1G79900/AT5G67450/AT1G05680/AT5G59820/AT1G48605/AT5G12030/AT5G49480/AT3G19580/AT5G14640/AT5G46180/AT3G51960/AT2G40950/AT4G01370/AT3G03450,17
GO:0009311,BP,GO:0009311,oligosaccharide metabolic process,19/1678,88/21061,0.215909090909091,2.70992929894897,4.72937634996605,5.21385260069413e-05,0.000577947661010277,0.000438063405110952,AT1G66570/AT2G43000/AT4G25000/AT1G51420/AT5G65140/AT4G02280/AT1G72000/AT3G63010/AT4G34860/AT5G20830/AT4G22590/AT4G24040/AT1G71880/AT2G05320/AT1G21270/AT1G76130/AT5G11110/AT1G22650/AT1G35910,19
GO:0071417,BP,GO:0071417,cellular response to organonitrogen compound,12/1678,41/21061,0.292682926829268,3.67353702142504,5.04169348332832,5.60498341318223e-05,0.000610209206113708,0.000462516488418608,AT5G11210/AT5G48410/AT5G48400/AT2G29110/AT2G29100/AT2G29120/AT3G07520/AT2G33580/AT4G08850/AT1G64280/AT3G21630/AT1G59870,12
GO:0006816,BP,GO:0006816,calcium ion transport,18/1678,82/21061,0.219512195121951,2.75515276606878,4.68537246913237,6.47045182891991e-05,0.000696144493829089,0.000527652325615327,AT5G11210/AT5G48410/AT3G51860/AT5G48400/AT2G29110/AT3G22910/AT2G29100/AT3G63380/AT5G01490/AT2G29120/AT3G07520/AT3G47220/AT4G37640/AT1G25520/AT3G57330/AT4G29900/AT1G55730/AT1G27770,18
GO:2000280,BP,GO:2000280,regulation of root development,18/1678,82/21061,0.219512195121951,2.75515276606878,4.68537246913237,6.47045182891991e-05,0.000696144493829089,0.000527652325615327,AT1G66700/AT4G28460/AT1G49800/AT3G02240/AT2G04025/AT1G29290/AT5G13150/AT2G47520/AT5G44585/AT1G09560/AT2G03830/AT1G34670/AT4G37290/AT5G52870/AT2G47270/AT1G59870/AT1G18740/AT5G04340,18
