"","x"
"443","AT5G57010"
"444","AT5G44585"
"445","AT1G69920"
"446","AT1G66725"
"447","AT2G31865"
"448","AT3G05630"
"449","AT2G31945"
"450","AT3G13380"
"451","AT2G04040"
"452","AT3G13790"
"453","AT1G78370"
"454","AT1G76960"
"455","AT4G08840"
"456","AT1G30220"
"457","AT5G26170"
"458","AT3G26470"
"459","AT2G35730"
"460","AT4G23320"
"461","AT5G53870"
"462","AT5G01100"
"463","AT2G42530"
"464","AT5G20960"
"465","AT2G41240"
"466","AT3G56970"
"467","AT2G18328"
"468","AT1G24145"
"469","AT4G20320"
"470","AT2G04450"
"471","AT1G13310"
"472","AT2G32140"
"473","AT1G01560"
"474","AT3G12910"
"475","AT3G21500"
"476","AT5G36970"
"477","AT2G28900"
"478","AT4G32280"
"479","AT3G17790"
"480","AT2G38250"
"481","AT5G39860"
"482","AT1G08310"
"483","AT5G57550"
"484","AT3G48640"
"485","AT5G24230"
"486","AT4G04330"
"487","AT1G77640"
"488","AT4G15270"
"489","AT1G12090"
"490","AT5G26920"
"491","AT5G39580"
"492","AT5G39720"
"493","AT1G73810"
"494","AT5G48540"
"495","AT1G06620"
"496","AT1G49000"
"497","AT5G42900"
"498","AT3G26440"
"499","AT1G54575"
"500","AT4G01360"
